#th d' n_p
0 0.923036 0.735472
1 1.061850 1.012809
2 1.185552 1.234889
3 1.235271 1.318230
4 1.264337 1.366298
5 1.287665 1.404956
6 1.313044 1.447164
7 1.333599 1.481514
8 1.356132 1.519405
9 1.378976 1.557974
10 1.405236 1.602353
11 1.430896 1.645644
12 1.456935 1.689487
13 1.479946 1.728212
14 1.505714 1.771557
15 1.528407 1.809706
16 1.552079 1.849536
17 1.576448 1.890511
18 1.597768 1.926397
19 1.619158 1.962520
20 1.636274 1.991614
21 1.655058 2.023824
22 1.672867 2.054613
23 1.692566 2.088924
24 1.712313 2.123521
25 1.729065 2.153117
26 1.744792 2.181234
27 1.762203 2.212721
28 1.779344 2.244040
29 1.795598 2.274080
30 1.811804 2.304406
31 1.828861 2.336704
32 1.841679 2.361345
33 1.858654 2.394480
34 1.873184 2.423237
35 1.887114 2.451281
36 1.904065 2.485915
37 1.919006 2.516874
38 1.932442 2.545210
39 1.946137 2.574652
40 1.961014 2.607214
41 1.975912 2.640375
42 1.990220 2.672788
43 2.005590 2.708212
44 2.021316 2.745035
45 2.040066 2.789474
46 2.056576 2.829047
47 2.072569 2.867943
48 2.089918 2.910725
49 2.105994 2.950913
50 2.119900 2.986310
51 2.134887 3.025208
52 2.149571 3.064039
53 2.161061 3.095140
54 2.175562 3.135338
55 2.187217 3.168421
56 2.203592 3.215905
57 2.218194 3.258980
58 2.230435 3.295943
59 2.242091 3.332130
60 2.255921 3.376174
61 2.268333 3.416685
62 2.278816 3.451939
63 2.293780 3.503582
64 2.304278 3.540764
65 2.315033 3.580153
66 2.328102 3.629413
67 2.343943 3.690276
68 2.355071 3.734011
69 2.367066 3.782609
70 2.381152 3.841076
71 2.422475 4.006954
72 2.472356 4.190039
73 2.490316 4.253383
74 2.509735 4.322581
75 2.527002 4.384825
76 2.543371 4.444796
77 2.596550 4.633001
78 2.615302 4.697022
79 2.636736 4.770912
80 2.656307 4.838986
81 2.674327 4.902519
82 2.697128 4.983681
83 2.715447 5.049496
84 2.740882 5.141439
85 2.758869 5.206897
86 2.776660 5.272770
87 2.802644 5.369632
88 2.821722 5.441119
89 2.840949 5.514229
90 2.862387 5.596702
91 2.880330 5.666667
92 2.901299 5.749616
93 2.917764 5.815835
94 2.933280 5.879778
95 2.951648 5.957133
96 2.968613 6.030002
97 2.985266 6.103139
98 3.003374 6.184325
99 3.023377 6.275400
100 3.038783 6.346939
101 3.056774 6.432432
102 3.076373 6.527086
103 3.092221 6.605147
104 3.105570 6.672932
105 3.119871 6.747995
106 3.137843 6.844691
107 3.154449 6.935872
108 3.169572 7.021065
109 3.183411 7.101473
110 3.198513 7.191974
111 3.212370 7.277592
112 3.226338 7.366786
113 3.241856 7.468777
114 3.255095 7.558461
115 3.267309 7.644401
116 3.282836 7.757187
117 3.296754 7.861043
118 3.308394 7.951175
119 3.324055 8.076324
120 3.339578 8.202882
121 3.353302 8.317647
122 3.365867 8.426327
123 3.379867 8.551375
124 3.397414 8.710642
125 3.410718 8.833623
126 3.426704 8.984871
127 3.437937 9.094316
128 3.450255 9.219355
129 3.459773 9.320563
130 3.472017 9.456826
131 3.483394 9.588235
132 3.493341 9.708491
133 3.503245 9.834473
134 3.515536 9.996945
135 3.525214 10.129848
136 3.533244 10.246805
137 3.542677 10.392405
138 3.555266 10.592506
139 3.565414 10.757720
140 3.572363 10.877624
141 3.582914 11.069491
142 3.592457 11.248685
143 3.603218 11.456747
144 3.610473 11.603437
145 3.619007 11.786568
146 3.625199 11.928501
147 3.631921 12.095238
148 3.637445 12.244147
149 3.645284 12.469388
150 3.650920 12.641061
151 3.657990 12.870403
152 3.663415 13.057508
153 3.669282 13.275415
154 3.673796 13.457831
155 3.680018 13.726664
156 3.686487 14.011372
157 3.691509 14.242494
158 3.699074 14.596692
159 3.704486 14.852682
160 3.710040 15.130346
161 3.715233 15.404308
162 3.721625 15.751269
163 3.727241 16.061611
164 3.733787 16.429577
165 3.740506 16.805755
166 3.745884 17.115279
167 3.750510 17.401487
168 3.755482 17.732261
169 3.758638 17.965517
170 3.761865 18.241983
171 3.765796 18.613670
172 3.769550 18.989904
173 3.772532 19.318112
174 3.775759 19.711297
175 3.778169 20.041445
176 3.780610 20.428571
177 3.782935 20.842250
178 3.784857 21.234700
179 3.786596 21.654462
180 3.788256 22.117338
181 3.789191 22.459716
182 3.790304 23.000000
183 3.791544 23.596273
184 3.792540 24.110970
185 3.793739 24.764476
186 3.794641 25.294821
187 3.795969 26.067669
188 3.797246 26.731092
189 3.798253 27.326180
190 3.799649 28.160530
191 3.801018 28.909366
192 3.802309 29.650155
193 3.803710 30.478537
194 3.805082 31.300163
195 3.805854 31.890365
196 3.806785 32.817250
197 3.807653 33.706398
198 3.808429 34.611511
199 3.809083 35.531365
200 3.809387 36.288136
201 3.809733 37.521401
202 3.810060 38.560440
203 3.810308 39.698869
204 3.810384 40.728135
205 3.810164 41.580645
206 3.809550 42.516484
207 3.808421 43.847112
208 3.807146 45.478873
209 3.806229 46.539016
210 3.804721 47.949320
211 3.802947 49.510204
212 3.800866 51.380952
213 3.798769 53.470426
214 3.796837 55.652361
215 3.795548 56.979502
216 3.792905 59.550459
217 3.790255 62.870968
218 3.788607 65.442953
219 3.787279 67.275862
220 3.785286 69.588235
221 3.782417 72.880597
222 3.780464 75.007678
223 3.776487 79.324544
224 3.772739 84.161290
225 3.769915 88.189189
226 3.766539 93.285714
227 3.763254 98.748111
228 3.760006 104.600000
229 3.756311 112.142857
230 3.753415 118.637462
231 3.749136 130.125828
232 3.745860 143.525547
233 3.744026 165.386555
234 3.744559 182.333333
235 3.745070 195.039604
236 3.746294 219.000000
237 3.748021 241.944785
238 3.749108 259.526316
239 3.751507 299.000000
240 3.757591 362.302752
241 3.761440 399.000000
242 3.767055 459.465116
243 3.775260 549.000000
244 3.779296 599.000000
245 3.790862 760.538462
246 3.805613 964.853659
247 3.808678 1014.384615
248 3.812415 1099.000000
249 3.822956 1413.285714
250 3.825690 1522.076923
251 3.831308 1884.714286
252 3.833996 2199.000000
253 3.837416 3299.000000
254 3.843057 9899.000000
255 0.000000 0.000000
